"section","label","value","createdDebtAmount","paidAmount","remainingAmount"
"counts","total","0",,,
"counts","active","0",,,
"counts","paid","0",,,
"counts","overdue","0",,,
"counts","cancelled","0",,,
"direction","owedByMeCount","0",,,
"direction","owedToMeCount","0",,,
"direction","owedByMeOriginalAmount","0",,,
"direction","owedToMeOriginalAmount","0",,,
"direction","owedByMeRemainingAmount","0",,,
"direction","owedToMeRemainingAmount","0",,,
"totals","totalOriginalAmount","0",,,
"totals","totalRemainingAmount","0",,,
"totals","completedPaymentsTotal","0",,,
